access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,ev_network_ids,federal_agency
public,Business hours,,,2026-08-11,,ELEC,Public,21535,LD,2002-05-30,P,[],False,E,,SHOPPING_MALL,Westfield MainPlace Mall,714-559-6525,2026-08-11T19:06:23Z,GPS,33.777054,-117.870566,Santa Ana,US,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",,CA,2800 N Main St,92705,,,,,,,,,,,,['J1772'],,,8.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
public,Dealership business hours,CALL,,2026-01-13,,ELEC,Public - Call ahead,39872,LD,2011-03-15,P,[],False,E,,CAR_DEALER,Buena Park Nissan,714-739-0800,2026-02-02T23:16:24Z,GPS,33.865269,-117.99485,Buena Park,US,,,CA,6501 Auto Center Dr,90621,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,3.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': 50.0, 'port_count': 1}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': 50.0, 'port_count': 1}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}]",,
public,Dealership business hours,CALL,,2026-01-13,,ELEC,Public - Call ahead,39882,LD,2011-03-15,P,[],False,E,,CAR_DEALER,Orange Coast Nissan,714-681-1738,2026-02-02T23:16:24Z,GPS,33.675029755,-117.918548584,Costa Mesa,US,,,CA,2850 Harbor Blvd,92626,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': 50.0, 'port_count': 1}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': 50.0, 'port_count': 1}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}]",,
public,Dealership business hours,CALL,,2026-01-13,,ELEC,Public - Call ahead,39952,LD,2011-03-15,P,[],False,E,,CAR_DEALER,Nissan of Tustin,714-669-8282,2026-02-02T23:16:24Z,GPS,33.724659,-117.799248,Tustin,US,,,CA,30 Auto Center Dr,92782,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 0}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': 50.0, 'port_count': 1}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': 50.0, 'port_count': 1}}, 'port_count': 1, 'charging_level': 'dc_fast', 'funding_sources': []}]",,
private,,,,2026-01-13,,ELEC,Private,48195,LD,2011-03-15,P,[],,E,,CAR_DEALER,Surf City Nissan,714-500-6000,2026-02-02T23:16:24Z,GPS,33.710371031,-117.98982913,Huntington Beach,US,,,CA,17331 Beach Blvd,92647,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
private,Employee use only,,,2025-06-06,,ELEC,Private,48352,LD,2012-04-20,P,[],,E,,OFFICE_BLDG,"AAA - Auto Club of Southern California, Administrative Offices",,2026-02-02T23:16:24Z,GPS,33.6915,-117.9095,Costa Mesa,US,South Coast Dr,,CA,3333 Fairview Rd,92626,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
public,9am-5pm M-F,,,2025-05-12,,ELEC,Public,48353,LD,2012-04-20,P,[],False,E,,OFFICE_BLDG,"AAA - Auto Club of Southern California, Costa Mesa Branch",714-427-5950,2026-02-02T23:16:24Z,GPS,33.69276,-117.9183,Costa Mesa,US,South Coast Dr,,CA,3350 Harbor Blvd,92626,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free for members,,False,,,,,,,,,,,,,,,,,,,,,Public,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
private,For service use only,,,2026-08-11,,ELEC,Private,48963,LD,2012-05-01,P,[],,E,,CAR_DEALER,Fullerton Ford,,2026-08-11T19:06:23Z,200-9,33.869725,-117.938109,Fullerton,US,,,CA,700 W Commonwealth Ave,92832,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}, {'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
private,For service use only,,,2026-08-11,,ELEC,Private,52641,LD,2013-08-23,P,[],,E,,CAR_DEALER,AutoNation Ford Tustin,714-627-5558,2026-08-11T19:06:23Z,200-9,33.726886,-117.800108,Tustin,US,At the front parking to the Ford dealership in the Tustin Auto Center,,CA,2 Auto Center Dr,92782,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Privé,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
public,Dealership business hours; for customer use only,CALL,,2025-05-12,,ELEC,Public - Call ahead,53719,LD,2013-07-01,P,[],True,E,,CAR_DEALER,Fairway Ford,714-524-1200,2026-02-02T23:16:24Z,200-9,33.887622,-117.838402,Placentia,US,,,CA,1350 E Yorba Linda Blvd,92870,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,"[{'network': 'Non-Networked', 'connectors': {'J1772': {'power_kw': None, 'port_count': 1}, 'J3271': {'power_kw': None, 'port_count': 0}, 'TESLA': {'power_kw': None, 'port_count': 0}, 'CHADEMO': {'power_kw': None, 'port_count': 0}, 'NEMA515': {'power_kw': None, 'port_count': 0}, 'NEMA520': {'power_kw': None, 'port_count': 0}, 'NEMA1450': {'power_kw': None, 'port_count': 0}, 'J1772COMBO': {'power_kw': None, 'port_count': 0}}, 'port_count': 1, 'charging_level': '2', 'funding_sources': []}]",,
